group_name,path
People practicing yoga in a mountainous setting,./data/examples/set_a/000001.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000002.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000003.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000004.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000005.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000006.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000007.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000008.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000009.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000010.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000011.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000012.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000013.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000014.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000015.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000016.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000017.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000018.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000019.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000020.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000021.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000022.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000023.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000024.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000025.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000026.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000027.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000028.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000029.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000030.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000031.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000032.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000033.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000034.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000035.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000036.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000037.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000038.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000039.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000040.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000041.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000042.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000043.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000044.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000045.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000046.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000047.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000048.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000049.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000050.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000051.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000052.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000053.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000054.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000055.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000056.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000057.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000058.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000059.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000060.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000061.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000062.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000063.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000064.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000065.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000066.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000067.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000068.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000069.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000070.jpg
People practicing yoga in a mountainous setting,./data/examples/set_a/000071.jpg
